package,manager,display,profile
7zip,pacman,xorg+wayland,cli
acpi,pacman,xorg+wayland,cli
acpid,pacman,xorg+wayland,cli
alacritty,pacman,xorg+wayland,gui_light
alsa-utils,pacman,xorg+wayland,gui_light
arandr,pacman,xorg,gui_light
archlinux-keyring,pacman,xorg+wayland,cli
axel,pacman,xorg+wayland,cli
base,pacman,xorg+wayland,cli
bat,pacman,xorg+wayland,cli
bc,pacman,xorg+wayland,cli
binutils,pacman,xorg+wayland,cli
blender,pacman,xorg+wayland,gui_heavy
blueman,pacman,xorg+wayland,gui_light
bluez,pacman,xorg+wayland,cli
bluez-utils,pacman,xorg+wayland,cli
brightnessctl,pacman,xorg+wayland,cli
btop,pacman,xorg+wayland,cli
cpupower,pacman,xorg+wayland,cli
cronie,pacman,xorg+wayland,cli
csvkit,pacman,xorg+wayland,cli
cups,pacman,xorg+wayland,gui_light
cups-pdf,pacman,xorg+wayland,gui_light
dosfstools,pacman,xorg+wayland,cli
efibootmgr,pacman,xorg+wayland,cli
electron,pacman,xorg+wayland,gui_heavy
entr,pacman,xorg+wayland,cli
evtest,pacman,xorg+wayland,cli
exfatprogs,pacman,xorg+wayland,cli
eza,pacman,xorg+wayland,cli
fakeroot,pacman,xorg+wayland,cli
feh,pacman,xorg,gui_light
ffmpegthumbnailer,pacman,xorg+wayland,gui_light
figlet,pacman,xorg+wayland,cli
file,pacman,xorg+wayland,cli
filelight,pacman,xorg+wayland,gui_light
findutils,pacman,xorg+wayland,cli
firefox,pacman,xorg+wayland,gui_light
flameshot,pacman,xorg+wayland,gui_light
font-manager,pacman,xorg+wayland,gui_light
foremost,pacman,xorg+wayland,cli
gawk,pacman,xorg+wayland,cli
gcc,pacman,xorg+wayland,cli
gdb,pacman,xorg+wayland,cli
gettext,pacman,xorg+wayland,cli
git,pacman,xorg+wayland,cli
git-delta,pacman,xorg+wayland,cli
git-lfs,pacman,xorg+wayland,cli
grep,pacman,xorg+wayland,cli
grim,pacman,wayland,gui_light
groff,pacman,xorg+wayland,cli
grub,pacman,xorg+wayland,cli
gtk4,pacman,xorg+wayland,gui_light
gufw,pacman,xorg+wayland,cli
gzip,pacman,xorg+wayland,cli
hexedit,pacman,xorg+wayland,cli
hexyl,pacman,xorg+wayland,cli
hwdetect,pacman,xorg+wayland,cli
hyperfine,pacman,xorg+wayland,cli
imv,pacman,xorg+wayland,cli
inkscape,pacman,xorg+wayland,gui_heavy
iptables,pacman,xorg+wayland,cli
jujutsu,pacman,xorg+wayland,cli
kdenlive,pacman,xorg+wayland,gui_heavy
keyd,pacman,xorg+wayland,cli
kondo,pacman,xorg+wayland,gui_light
krita,pacman,xorg+wayland,gui_heavy
kvantum,pacman,xorg+wayland,gui_light
lib32-glu,pacman,xorg+wayland,cli
lib32-gnutls,pacman,xorg+wayland,cli
lib32-libpulse,pacman,xorg+wayland,cli
libinput-tools,pacman,xorg+wayland,cli
libreoffice-still,pacman,xorg+wayland,gui_heavy
lightdm,pacman,xorg+wayland,gui_light
lightdm-webkit-theme-litarvan,pacman,xorg+wayland,gui_light
lightdm-webkit2-greeter,pacman,xorg+wayland,gui_light
linux,pacman,xorg+wayland,cli
linux-firmware,pacman,xorg+wayland,cli
linux-headers,pacman,xorg+wayland,cli
lrzip,pacman,xorg+wayland,cli
lshw,pacman,xorg+wayland,cli
